station,x,y,year,quarter,hsi
NB1,2318587,428692,2026,1,0.0
NB1,2318587,428692,2026,2,0.0
NB1,2318587,428692,2026,3,0.0
NB1,2318587,428692,2026,4,0.0
NB2,2319163,428365,2026,1,0.0
NB2,2319163,428365,2026,2,0.0
NB2,2319163,428365,2026,3,0.0
NB2,2319163,428365,2026,4,0.0
NB3,2320268,427607,2026,1,0.0
NB3,2320268,427607,2026,2,0.0
NB3,2320268,427607,2026,3,0.0
NB3,2320268,427607,2026,4,0.0
NB4,2320452,429685,2026,1,0.0
NB4,2320452,429685,2026,2,0.0
NB4,2320452,429685,2026,3,0.0
NB4,2320452,429685,2026,4,0.0
NB5,2319397,429449,2026,1,0.0
NB5,2319397,429449,2026,2,0.0
NB5,2319397,429449,2026,3,0.0
NB5,2319397,429449,2026,4,0.0
NB6,2322158,422550,2026,1,0.0
NB6,2322158,422550,2026,2,0.0
NB6,2322158,422550,2026,3,0.0
NB6,2322158,422550,2026,4,0.0
NB8,2324600,433954,2026,1,0.0
NB8,2324600,433954,2026,2,0.0
NB8,2324600,433954,2026,3,0.0
NB8,2324600,433954,2026,4,0.0
NB9,2313924,420738,2026,1,0.0
NB9,2313924,420738,2026,2,0.0
NB9,2313924,420738,2026,3,0.0
NB9,2313924,420738,2026,4,0.0
NB10,2315155,421276,2026,1,0.0
NB10,2315155,421276,2026,2,0.0
NB10,2315155,421276,2026,3,0.0
NB10,2315155,421276,2026,4,0.0
NB11,2316995,413685,2026,1,0.0
NB11,2316995,413685,2026,2,0.0
NB11,2316995,413685,2026,3,0.0
NB11,2316995,413685,2026,4,0.0
NB12,2316901,424936,2026,1,0.0
NB12,2316901,424936,2026,2,0.0
NB12,2316901,424936,2026,3,0.0
NB12,2316901,424936,2026,4,0.0
NB13,2316868,426503,2026,1,0.0
NB13,2316868,426503,2026,2,0.0
NB13,2316868,426503,2026,3,0.0
NB13,2316868,426503,2026,4,0.0
NB14,2317578,422609,2026,1,0.0
NB14,2317578,422609,2026,2,0.0
NB14,2317578,422609,2026,3,0.0
NB14,2317578,422609,2026,4,0.0
NB15,2317218,430394,2026,1,0.0
NB15,2317218,430394,2026,2,0.0
NB15,2317218,430394,2026,3,0.0
NB15,2317218,430394,2026,4,0.0
NB16,2317471,431681,2026,1,0.0
NB16,2317471,431681,2026,2,0.0
NB16,2317471,431681,2026,3,0.0
NB16,2317471,431681,2026,4,0.0
NB17,2317257,432137,2026,1,0.0
NB17,2317257,432137,2026,2,0.0
NB17,2317257,432137,2026,3,0.0
NB17,2317257,432137,2026,4,0.0
NB18,2316544,435609,2026,1,0.0
NB18,2316544,435609,2026,2,0.0
NB18,2316544,435609,2026,3,0.0
NB18,2316544,435609,2026,4,0.0
NB19,2316498,443279,2026,1,0.0
NB19,2316498,443279,2026,2,0.0
NB19,2316498,443279,2026,3,0.0
NB19,2316498,443279,2026,4,0.0
NB20,2322174,447656,2026,1,0.0
NB20,2322174,447656,2026,2,0.0
NB20,2322174,447656,2026,3,0.0
NB20,2322174,447656,2026,4,0.0
NB21,2321985,452827,2026,1,0.0
NB21,2321985,452827,2026,2,0.0
NB21,2321985,452827,2026,3,0.0
NB21,2321985,452827,2026,4,0.0
NB22,2322430,458154,2026,1,0.0
NB22,2322430,458154,2026,2,0.0
NB22,2322430,458154,2026,3,0.0
NB22,2322430,458154,2026,4,0.0
NB23,2323792,459817,2026,1,0.0
NB23,2323792,459817,2026,2,0.0
NB23,2323792,459817,2026,3,0.0
NB23,2323792,459817,2026,4,0.0
NB24,2326075,460842,2026,1,0.0
NB24,2326075,460842,2026,2,0.0
NB24,2326075,460842,2026,3,0.0
NB24,2326075,460842,2026,4,0.0
NB25,2329585,466608,2026,1,0.0
NB25,2329585,466608,2026,2,0.0
NB25,2329585,466608,2026,3,0.0
NB25,2329585,466608,2026,4,0.0
NB26,2321486,455510,2026,1,0.0
NB26,2321486,455510,2026,2,0.0
NB26,2321486,455510,2026,3,0.0
NB26,2321486,455510,2026,4,0.0
NB27,2330880,459989,2026,1,0.0
NB27,2330880,459989,2026,2,0.0
NB27,2330880,459989,2026,3,0.0
NB27,2330880,459989,2026,4,0.0
NB28,2333357,460436,2026,1,0.0
NB28,2333357,460436,2026,2,0.0
NB28,2333357,460436,2026,3,0.0
NB28,2333357,460436,2026,4,0.0
NB29,2334332,462783,2026,1,0.0
NB29,2334332,462783,2026,2,0.0
NB29,2334332,462783,2026,3,0.0
NB29,2334332,462783,2026,4,0.0
NB30,2327079,463665,2026,1,0.0
NB30,2327079,463665,2026,2,0.0
NB30,2327079,463665,2026,3,0.0
NB30,2327079,463665,2026,4,0.0
NB31,2331339,470234,2026,1,0.0
NB31,2331339,470234,2026,2,0.0
NB31,2331339,470234,2026,3,0.0
NB31,2331339,470234,2026,4,0.0
NB32,2346140,480817,2026,1,0.0
NB32,2346140,480817,2026,2,0.0
NB32,2346140,480817,2026,3,0.0
NB32,2346140,480817,2026,4,0.0
NB33,2313396,423810,2026,1,0.0
NB33,2313396,423810,2026,2,0.0
NB33,2313396,423810,2026,3,0.0
NB33,2313396,423810,2026,4,0.0
NB34,2307445,430246,2026,1,0.0
NB34,2307445,430246,2026,2,0.0
NB34,2307445,430246,2026,3,0.0
NB34,2307445,430246,2026,4,0.0
NB35,2307219,430996,2026,1,0.0
NB35,2307219,430996,2026,2,0.0
NB35,2307219,430996,2026,3,0.0
NB35,2307219,430996,2026,4,0.0
NB36,2306977,431601,2026,1,0.0
NB36,2306977,431601,2026,2,0.0
