Station,Station_Name,Quarter,year,quarter,species,X,Y,DO,Temperature,pH,Salinity,NH3,PO4,H2S,BOD5,COD,TSS,Coliform,Alkalinity,Transparency,CN,As,Cd,Pb,Cu,Hg,Zn,Total_Cr,HSI,HSI_Level,r_hsi,R_km
NB2,Cảng B12- vịnh Cửa Lục,2026-01-01,2026,1,cobia,2319163,428365,6.329395294189453,21.998817443847656,8.239668846130371,30.598960876464844,0.039824403822422,0.033545896410942,,37.443695068359375,102.06836700439452,5.02243185043335,0.0,127.38660430908205,1.924185037612915,0.0013612867332994,0.0014063363196328,0.0001038050686474,0.0,0.0014819463249295,0.0001685166789684,0.008016356267035,0.0006226813420653,0.8307099086549167,Phù hợp,0.3311740478962686,
NB2,Cảng B12- vịnh Cửa Lục,2026-04-01,2026,2,cobia,2319163,428365,6.32003927230835,26.85767936706543,8.268484115600586,30.454553604125977,0.0525701083242893,0.0444938540458679,,37.74355316162109,87.84493255615234,4.602376461029053,0.0,117.37163543701172,0.0,0.0013036195887252,0.0015556113794445,0.0001038050686474,0.0,0.0018540567252784,0.0001685166789684,0.0115052219480276,0.0002319295454071,0.8252291844916604,Phù hợp,0.3311740478962686,
NB2,Cảng B12- vịnh Cửa Lục,2026-07-01,2026,3,cobia,2319163,428365,6.523062705993652,28.21379280090332,8.221820831298828,30.032413482666016,0.0506905317306518,0.0529780201613903,,40.82375717163086,111.98814392089844,3.163311719894409,0.0,141.73617553710938,0.4273048341274261,0.0013036195887252,0.0019658603705465,0.0001038050686474,0.0,1.823591992433649e-05,0.0001685166789684,0.0127384066581726,0.0002886121219489,0.8143272170600021,Phù hợp,0.3311740478962686,
NB2,Cảng B12- vịnh Cửa Lục,2026-10-01,2026,4,cobia,2319163,428365,6.127256870269775,24.97374725341797,8.170520782470703,29.9151611328125,0.0530838295817375,0.0431597530841827,,38.73537063598633,108.566650390625,1.933217167854309,0.0,119.53370666503906,0.3285777270793915,0.001308208447881,0.0016233120113611,0.0001038050686474,0.0001962463575182,0.0008269767276942,0.0001685166789684,0.0114190718159079,0.0004107059212401,0.8207056004195119,Phù hợp,0.3311740478962686,
NB3,Cảng Cái Lân- vịnh Cửa Lục,2026-01-01,2026,1,cobia,2320268,427607,6.511907577514648,20.75350570678711,8.237408638000488,32.01126480102539,0.0431546345353126,0.0207385830581188,,32.439422607421875,66.56177520751953,2.6079986095428467,459.4632873535156,118.1308135986328,0.0,0.0013612867332994,0.0015649943379685,0.0001038050686474,0.0002135418035322,0.0014885090058669,0.0001685166789684,0.0101439766585826,0.0005929030594415,0.8386916626002379,Phù hợp,0.669997947758051,
NB3,Cảng Cái Lân- vịnh Cửa Lục,2026-04-01,2026,2,cobia,2320268,427607,5.8032097816467285,26.914072036743164,8.277846336364746,32.02142333984375,0.0607161335647106,0.023037439212203,,31.91851234436035,81.72454071044922,3.875680446624756,0.0,115.85780334472656,0.0,0.0013036195887252,0.0018973583355545,0.0001038050686474,0.0,0.0011384634999558,0.0001685166789684,0.0014226720668375,0.0,0.8339209752173662,Phù hợp,0.669997947758051,
NB3,Cảng Cái Lân- vịnh Cửa Lục,2026-07-01,2026,3,cobia,2320268,427607,6.286580562591553,27.41926383972168,8.229969024658203,31.21129035949707,0.0567616261541843,0.0458474829792976,,37.51588821411133,87.0481948852539,2.4585423469543457,0.0,149.414306640625,0.0,0.001308208447881,0.0023490064777433,0.0001038050686474,0.0,0.0002795635082293,0.0001685166789684,0.0239178128540515,0.0002225023490609,0.8226033922650808,Phù hợp,0.669997947758051,
NB3,Cảng Cái Lân- vịnh Cửa Lục,2026-10-01,2026,4,cobia,2320268,427607,6.779633045196533,24.52973747253418,8.22402286529541,31.507709503173828,0.0621935166418552,0.0330374576151371,,37.83485412597656,89.08548736572266,2.573437213897705,0.0,120.1069107055664,0.0,0.001308208447881,0.0018302296521142,0.0001038050686474,0.0003655240288935,0.002208509016782,0.0001685166789684,0.0306534506380558,0.0003684287075884,0.8216796497903642,Phù hợp,0.669997947758051,
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2026-01-01,2026,1,cobia,2320452,429685,7.596078872680664,18.987728118896484,8.281933784484863,31.368837356567383,0.0479925870895385,0.0178666356950998,,33.99110412597656,79.27432250976562,5.812102794647217,0.0,135.94937133789062,1.895646452903748,0.001347028533928,0.0016521955840289,0.0001038050686474,0.0004393025883473,0.0014417478814721,0.0001685166789684,0.0452065654098987,0.000637411896605,0.8296989595775992,Phù hợp,0.5405370015086849,
NB4,Khu Hòn Gạc- vịnh Cửa Lục,2026-04-01,2026,2,cobia,2320452,429685,7.210908889770508,25.59233283996582,8.389771461486816,31.21411323547364,0.0604374706745147,0.0247156489640474,,39.64612579345703,120.26428985595705,4.71854305267334,0.0,132.7478485107422,1.6572149991989136,0.001308208447881,0.0015830736374482,0.0001038050686474,0.0020824733655899,0.0015361042460426,0.0001685166789684,0.0125442100688815,0.0004582742985803,0.8152668939192116,Phù hợp,0.5405370015086849,
